subj.id,focal.id.old,date,time,gutt.score,right.hand,left.hand,both.hands,total,comments
Whitney,648,2024.10.25,,0.8,38,0,0,38,
Jim_lim,649,2024.10.25,,0.8,0,1,0,1,
Dandi,651,2024.10.26,,0.8,0,11,0,11,
Dandi,651,2024.10.26,,0.2,0,2,0,2,
Yaiko,652,2024.10.26,,0.8,11,0,0,11,
Bat,653,2024.10.26,,0.8,19,0,0,19,
Bat,653,2024.10.26,11:29:44,0.6,1,0,0,1,
Santa,655,2024.10.26,,0.8,0,1,0,1,
Granny,657,2024.10.26,,0.8,0,12,0,12,
Robin,658,2024.10.28,,0.8,0,12,0,12,
Aura,659,2024.10.28,,0.8,11,0,0,11,
Yaiko,660,2024.10.28,,0.8,1,0,0,1,
Kaya,661,2024.10.28,,0.8,0,31,0,31,
Quindoline,662,2024.10.28,,0.8,12,0,0,12,
Quindoline,662,2024.10.28,,0.2,0,1,0,1,
Vula,663,2024.10.28,,0.8,0,49,0,49,
Babosa,664,2024.10.28,,0.8,5,3,27,35,
Pinky,665,2024.10.28,,0.8,11,0,0,11,
Pinky,665,2024.10.28,16:01:26,0.6,1,0,0,1,
Dandi,667,2024.10.28,,0.8,0,1,0,1,
Dandi,667,2024.10.28,16:45:15,0.6,0,1,0,1,
Dandi,667,2024.10.28,16:46:08,0.6,0,1,0,1,
Oreo,668,2024.10.29,,0.8,0,17,0,17,
Oreo,668,2024.10.29,,0.2,0,1,0,1,
Betina,669,2024.10.29,,0.8,0,5,0,5,
Betina,669,2024.10.29,,0.2,0,5,0,5,
Iyla,670,2024.10.29,,0.8,12,0,0,12,
Iyla,670,2024.10.29,,0.2,9,0,0,9,
Harley,671,2024.10.29,,0.8,0,28,0,28,
Harley,671,2024.10.29,,0.2,0,4,0,4,
Granny,672,2024.10.29,,0.8,0,5,0,5,
Naina,673,2024.10.29,,0.2,0,17,0,17,
Iyla,675,2024.10.29,,0.2,1,0,0,1,
Santa,676,2024.10.29,,0.8,0,10,0,10,
Santa,676,2024.10.29,16:49:34,0.6,0,1,0,1,
Dandi,686,2024.10.30,,0.2,0,2,0,2,
Pat,688,2024.10.30,,0.8,3,0,0,3,
Pat,688,2024.10.30,14:56:01,0.6,1,0,0,1,
Ted,689,2024.10.30,,0.8,9,0,0,9,
Ted,689,2024.10.30,,0.2,0,7,0,7,
Yaiko,690,2024.10.30,,0.8,2,0,0,2,
Harley,691,2024.01.11,,0.8,0,6,0,6,
Harley,691,2024.01.11,,0.2,0,2,0,2,
Harley,691,2024.11.01,14:36:09,0.6,0,1,0,1,
Flame,692,2024.01.11,,0.8,0,23,0,23,
Dandi,693,2024.01.11,,0.8,0,1,0,1,
Dandi,693,2024.01.11,,0.2,0,2,0,2,
Dandi,693,2024.11.01,15:23:16,0.6,0,1,0,1,
Betina,694,2024.11.01,16:13:16,0.6,0,1,0,1,
Belanda,695,2024.02.11,,0.2,3,0,0,3,
Robin,707,2024.02.11,,0.8,0,5,0,5,
Robin,707,2024.02.11,,0.2,0,15,0,15,
Jim_lim,708,2024.02.11,,0.8,0,11,0,11,
Granny,709,2024.04.11,,0.8,0,38,0,38,
Granny,709,2024.04.11,,0.2,0,4,0,4,
Whitney,710,2024.04.11,,0.8,4,0,0,4,
Robin,712,2024.04.11,,0.2,0,2,0,2,
Jim_lim,720,2024.04.11,,0.8,0,2,0,2,
Yaiko,721,2024.04.11,,0.8,8,0,0,8,
Yaiko,721,2024.04.11,,0.2,3,0,0,3,
Dandi,722,2024.04.11,,0.8,0,1,0,1,
Dandi,722,2024.04.11,,0.2,0,7,0,7,
Jim_lim,726,2024.06.11,,0.8,0,2,0,2,
Pinky,728,2024.11.11,,0.2,5,0,0,5,
Kaya,729,2024.11.11,,0.8,0,20,0,20,
Flame,731,2024.11.11,,0.8,0,14,0,14,
Flame,731,2024.11.11,,0.2,0,1,0,1,
Dandi,734,2024.11.12,9:48:04,0.6,0,1,0,1,
Iyla,736,2024.12.11,,0.2,15,0,0,15,
Harley,737,2024.12.11,,0.8,0,19,0,19,
